id,label,sex,birth,type
DIFN,Deutsches Institut für Normung,0,na,1
BFB,Bundesverband freier Berufe,0,na,1
BuBa,Bundesstiftung Baukultur,0,na,1
DSD,Deutsche Stiftung Denkmalschutz,0,na,1
IFS,Institut für Stadtbaukunst,0,na,1
ETHWPF,ETH Women Professors Forum,0,na,1
FRS,Future Resilience System,0,na,1
CFROED,Center for Research on Environmental Decisions,0,na,1
OEBUVNW,Öbu - Verband für nachhaltiges Wirtschaften,0,na,1
SN,Schweizerische Nationalbank ,0,na,1
KSA,K+S Aktiengesellschaft,0,na,1
CHBS,C.H. Boehringer Sohn AG & Co. KG,0,na,1
FIFAUIS,Fraunhofer-Institut für Angewandte und Integrierte Sicherheit,0,na,1
CFASRD,Center for Advanced Security Research Darmstadt,0,na,1
VFDF,Verein zur Förderung eines Deutschen Forschungsnetzes e. V.,0,na,1
OFFISII,OFFIS – Institut für Informatik,0,na,1
BITUNM,"Bundesverband Informationswirtschaft, Telekommunikation und neue Medien",0,na,1
ESB,Einstein-Stiftung Berlin,0,na,1
ADADT,acatech – Deutsche Akademie der Technikwissenschaften,0,na,1
BADW,Bayerische Akademie der Wissenschaften,0,na,1
VDV,Vereinte Dienstleistungsgewerkschaft verdi,0,na,1
SKE,Stadt Karlsruhe,0,na,1
TUB,Technischen Universität Berlin,0,na,1
MPI,Max-Planck-Institut,0,na,1
ALS,Alcatel-Lucent Stiftung,0,na,1
JQS,Johanna-Quandt-Stiftung,0,na,1
BMWSHQ,BMW Stiftung Herbert Quandt,0,na,1
ED,Entrust Datacard,0,na,1
SR,Südzucker AG,0,na,1
LAIBW,Lenkungskreis „Allianz Industrie 4.0 Baden-Württemberg“,0,na,1
BWI,Baden-Württemberg International (bw-i),0,na,1
VDMABW,VDMA (Verband Deutscher Maschinen- und Anlagenbau) Baden-Württemberg,0,na,1
TUIG,TUI Group,0,na,1
HBS,Heinrich-Böll-Stiftung,0,na,1
DEK,Deutsch Evangelischer Kirchentag,0,na,1
DSS,Dieter Schwarz Stiftung,0,na,1
EEBW,evalag Evaluationsagentur Baden-Württemberg,0,na,1
PHK,Pädagogische Hochschule Karlsruhe,0,na,1
TUM,Technischen Universität München,0,na,1
IEK,Initiative Erfurter Kreuz e.V.,0,na,1
TF,Thex Frauensache,0,na,1
FFGJ,Freiwilligen Feuerwehr Göppingen-Jebenhausen,0,na,1
BEB,"Bundesverbandes Energiespeicher e. V., Berlin",0,na,1
W,Welthungerhilfe,0,na,1
UU,Universität Ulm,0,na,1
G,Gerresheimer AG,0,na,1
EISPE,Expertenverbands ISPE,0,na,1
EFB,European Family Businesses ,0,na,1
H,Henkel AG & Co. KGaA,0,na,1
DT,Deutschen Telekom AG,0,na,1
RB,Robert Bosch GmbH,0,na,1
DW,Deutschen Wissenschaftsrat,0,na,1
LMTGO,"LMT Leading Metalworking Technologies Group, Oberkochen",0,na,1
BDDA,Bundesvereinigung der Deutschen Arbeitgeberverbände,0,na,1
ES,Europäischer Sozialfonds,0,na,1
DDS,Diversity der Südwestmetall,0,na,1
FIDW,Frauen in der Wirtschaft,0,na,1
,,,,
HSFGSG,Hochschule für Gestaltung Schwäbisch Gmünd,0,na,2
HSFGK,Hochschule für Gestaltung Karlsruhe,0,na,2
KK,Kunstakademie Karlsruhe,0,na,2
IHSL,Internationale Hochschule Liebenzell,0,na,2
PHSW,Pädagogische Hochschule Weingarten,0,na,2
PHSF,Pädagogische Hochschule Freiburg,0,na,2
PHSH,Pädagogische Hochschule Heidelberg,0,na,2
PHSK,Pädagogische Hochschule Karlsruhe ,0,na,2
PHSS,Pädagogische Hochschule Schwäbisch Gmünd,0,na,2
PHSL,Pädagogische Hochschule Ludwigsburg,0,na,2
PHSTS,Pädagogischen Hochschule Thurgau/Schweiz,0,na,2
PHSW,Pädagogosche Hochschule Weingarten,0,na,2
HSU,Hochschule Ulm,0,na,2
HSR,Hochschule Reutlingen,0,na,2
HSDM,Hochschule der Medien,0,na,2
HSP,Hochschule Pforzheim,0,na,2
AS,Akademie der Bildenden Künste Stuttgart,0,na,2
HoScHe,Hochschule für jüdische Studien Heidelberg,0,na,2
HoScKa,Hochschule für Musik Karlsruhe,0,na,2
HoScMa,Hochschule für Musik und Darstellende Kunst Mannheim,0,na,2
MHF,Musikhochschule Freiburg,0,na,2
MHS,Musikhochschule Stuttgart,0,na,2
HSM,Hochschule Mannheim,0,na,2
KIT,Karlsruher Institut für Technologie,0,na,2
HSH,Hochschule Heilbronn,0,na,2
HSE,Hochschule Esslingen,0,na,2
