id,label,sex,birth,type
SI,Stiftung Internationale Musikschulakademie Kulturzentrum Schloss Kapfenburg,0,na,1
SZ,Stauferklinikum - Zentrum fuer Innere Medizin,0,na,1
FEM,Forschungsinstitut fuer Edelmetalle und Metallchemie,0,na,1
DGG,Deutsche Gesellschaft fuer Galvano- und Oberflaechentechnik,0,na,1
AIF,Arbeitsgemeinschaft industrieller Forschungsvereinigungen,0,na,1
ZOS,Zentrum fuer Oberflaechentechnik Schwaebisch Gmuend e.V.,0,na,1
EM,Edelmetallverband e.V.,0,na,1
EA,European Academy of Surface Technology,0,na,1
EGL,Eugen G. Leuze Verlag,0,na,1
SBW,Staatsgerichtshof Baden-Wuerttemberg,0,na,1
SBL,Sozialberatung Ludwigsburg e.V,0,na,1
FrJe,Freundeskreis Jevpatorija e.V,0,na,1
BL,Buergerstiftung Ludwigsburg,0,na,1
RoYoLi,Rock Your Life,0,na,1
SC,Sumida Corporation,0,na,1
FFT,Franzoesische Filmtage Tuebingen-Stuttgart,0,na,1
TT,Toker telecom,0,na,1
SELF,SELF e.V.,0,na,1
DA,Deutsche Aktuarvereinigung,0,na,1
DGVF,Deutsche Gesellschaft fuer Versicherungs- und Finanzmathematik ,0,na,1
FTR,FinTechRat,0,na,1
BF,Bitkom Fachausschuss,0,na,1
HVBF,HVB Frauenbeirat,0,na,1
ENA,European Network Architecture,0,na,1
GePu,Geschichtsverein Pfullingen ,0,na,1
TRT,TriRhenaTech,0,na,1
DS,Deutscher Staedtetag,0,na,1
STBW,Staedtetag Baden-Wuerttemberg,0,na,1
FSF,Friesenheimer Schul-Foerderverein,0,na,1
BEM,Buerger-Energiegenossenschaft E-Werk Mittelbaden,0,na,1
KP,Karlsruher Praesidentinnen,0,na,1
FFBB,Freundeskreis Festspielhaus Baden-Baden,0,na,1
GS,Grenke-Stiftung,0,na,1
SZBB,Schachzentrum Baden-Baden,0,na,1
MKS,Muenchner Kreis,0,na,1
ICC,Industrial Consortium Committee,0,na,1
VOE,Verwaltungsrat der Oberschwaebischen Elektrizitaetswerke,0,na,1
EuMi,Europa Minikoeche,0,na,1
UnHo,Universitaet Hohenheim,0,na,1
GA,Gaertnern fuer Alle,0,na,1
EKFM,Europaeisches KulturForum Mainau,0,na,1
TNL,Tagung der Nobelpreistraeger in Lindau,0,na,1
PID,Plan International Deutschland,0,na,1
AKLF,Aufsichtsrat der Krankenhaeuser Landkreis Freudenstadt,0,na,1
KSF,Kreissparkasse Freudenstadt,0,na,1
NSNS,Nationalpark-Rat des Nationalparks Schwarzwald,0,na,1
TBW,Tourismusverband Baden-Wuerttemberg,0,na,1
ScTo,Schwarzwald Tourismus ,0,na,1
DFHS,Deutsch-Franzoesischen Hochschule,0,na,1
IFM,Institut français Mannheim,0,na,1
StMa,Stadt Mannheim,0,na,1
DFG,Deutsche Forschungsgemeinschaft,0,na,1
EB,Editorial Board,0,na,1
RIDLI,Revista Internacional de Lingueística Iberorrománica,0,na,1
DAA,Deutscher Akademischer Austauschdienst,0,na,1
SDDV,Studienstiftung des Deutschen Volkes,0,na,1
FES,Friedrich-Ebert-Stiftung,0,na,1
